Latitude: 40.0066345, Longitude: -105.2632826, Altitude: 1648.048
Latitude: 40.0066341, Longitude: -105.2632819, Altitude: 1648.0240000000001
Latitude: 40.0066342, Longitude: -105.26328149999999, Altitude: 1647.823
Latitude: 40.0066341, Longitude: -105.26328129999999, Altitude: 1647.906
Latitude: 40.006633799999996, Longitude: -105.2632812, Altitude: 1647.7540000000001
Latitude: 40.006633099999995, Longitude: -105.2632804, Altitude: 1647.788
Latitude: 40.0066329, Longitude: -105.26327959999999, Altitude: 1647.421
Latitude: 40.0066324, Longitude: -105.26327839999999, Altitude: 1647.673
Latitude: 40.006631899999995, Longitude: -105.26327739999999, Altitude: 1647.694
Latitude: 40.006631399999996, Longitude: -105.2632766, Altitude: 1647.777
Latitude: 40.0066305, Longitude: -105.26327529999999, Altitude: 1647.7350000000001
Latitude: 40.0066299, Longitude: -105.26327459999999, Altitude: 1647.527
Latitude: 40.0066293, Longitude: -105.263274, Altitude: 1647.462
Latitude: 40.006628899999995, Longitude: -105.2632738, Altitude: 1647.3020000000001
Latitude: 40.006628, Longitude: -105.26327339999999, Altitude: 1647.63
Latitude: 40.0066273, Longitude: -105.2632727, Altitude: 1647.5420000000001
Latitude: 40.0066267, Longitude: -105.26327239999999, Altitude: 1647.58
Latitude: 40.006626, Longitude: -105.2632723, Altitude: 1647.55
Latitude: 40.006625199999995, Longitude: -105.263272, Altitude: 1647.858
Latitude: 40.0066245, Longitude: -105.2632715, Altitude: 1647.948
Latitude: 40.006623499999996, Longitude: -105.2632709, Altitude: 1648.231
Latitude: 40.0066227, Longitude: -105.26326999999999, Altitude: 1648.528
Latitude: 40.006622899999996, Longitude: -105.2632694, Altitude: 1648.122
Latitude: 40.0066227, Longitude: -105.2632696, Altitude: 1648.067
Latitude: 40.0066223, Longitude: -105.2632702, Altitude: 1647.8210000000001
Latitude: 40.0066223, Longitude: -105.2632697, Altitude: 1647.439
Latitude: 40.0066221, Longitude: -105.2632691, Altitude: 1647.311
Latitude: 40.006621599999995, Longitude: -105.263269, Altitude: 1647.266
Latitude: 40.006620999999996, Longitude: -105.26326859999999, Altitude: 1647.083
Latitude: 40.00662, Longitude: -105.2632685, Altitude: 1647.007
Latitude: 40.006618599999996, Longitude: -105.2632682, Altitude: 1646.8500000000001
Latitude: 40.006617399999996, Longitude: -105.26326759999999, Altitude: 1647.025
Latitude: 40.0066165, Longitude: -105.263267, Altitude: 1646.957
Latitude: 40.0066158, Longitude: -105.2632665, Altitude: 1646.7640000000001
Latitude: 40.006615499999995, Longitude: -105.2632671, Altitude: 1646.346
Latitude: 40.006614899999995, Longitude: -105.26326759999999, Altitude: 1646.511
Latitude: 40.0066141, Longitude: -105.2632672, Altitude: 1646.403
Latitude: 40.006613, Longitude: -105.26326619999999, Altitude: 1646.435
Latitude: 40.0066121, Longitude: -105.2632649, Altitude: 1646.358
Latitude: 40.0066111, Longitude: -105.26326399999999, Altitude: 1646.374
Latitude: 40.0066103, Longitude: -105.26326309999999, Altitude: 1646.231
Latitude: 40.0066098, Longitude: -105.2632629, Altitude: 1645.952
Latitude: 40.006609499999996, Longitude: -105.2632629, Altitude: 1645.928
Latitude: 40.0066093, Longitude: -105.2632623, Altitude: 1646.036
Latitude: 40.006608899999996, Longitude: -105.26326159999999, Altitude: 1645.837
Latitude: 40.0066078, Longitude: -105.26326089999999, Altitude: 1645.701
Latitude: 40.0066066, Longitude: -105.2632601, Altitude: 1645.776
Latitude: 40.0066057, Longitude: -105.2632593, Altitude: 1645.554
Latitude: 40.006604599999996, Longitude: -105.26325969999999, Altitude: 1645.304
Latitude: 40.006602799999996, Longitude: -105.26325969999999, Altitude: 1644.884
Latitude: 40.006601599999996, Longitude: -105.26325849999999, Altitude: 1644.574
Latitude: 40.0066011, Longitude: -105.2632569, Altitude: 1644.183
Latitude: 40.0066006, Longitude: -105.26325589999999, Altitude: 1644.108
Latitude: 40.0066001, Longitude: -105.26325419999999, Altitude: 1644.0230000000001
Latitude: 40.0065994, Longitude: -105.2632527, Altitude: 1643.933
Latitude: 40.006598499999996, Longitude: -105.26325209999999, Altitude: 1643.936
Latitude: 40.0065977, Longitude: -105.2632514, Altitude: 1643.801
Latitude: 40.0065968, Longitude: -105.26325089999999, Altitude: 1643.8990000000001
Latitude: 40.0065957, Longitude: -105.2632503, Altitude: 1643.977
Latitude: 40.0065946, Longitude: -105.2632493, Altitude: 1643.7150000000001
Latitude: 40.0065938, Longitude: -105.2632484, Altitude: 1643.7540000000001
Latitude: 40.0065934, Longitude: -105.26324729999999, Altitude: 1643.679
Latitude: 40.0065928, Longitude: -105.2632464, Altitude: 1643.8
Latitude: 40.006592, Longitude: -105.2632467, Altitude: 1643.771
Latitude: 40.0065911, Longitude: -105.2632471, Altitude: 1644.026
Latitude: 40.0065904, Longitude: -105.26324699999999, Altitude: 1644.285
Latitude: 40.0065898, Longitude: -105.2632457, Altitude: 1644.503
Latitude: 40.0065898, Longitude: -105.2632433, Altitude: 1644.438
Latitude: 40.0065895, Longitude: -105.2632422, Altitude: 1644.6380000000001
Latitude: 40.0065891, Longitude: -105.2632419, Altitude: 1644.804
Latitude: 40.0065889, Longitude: -105.26324079999999, Altitude: 1644.8400000000001
Latitude: 40.0065891, Longitude: -105.2632399, Altitude: 1644.602
Latitude: 40.0065891, Longitude: -105.2632397, Altitude: 1644.678
Latitude: 40.0065893, Longitude: -105.263239, Altitude: 1644.634
Latitude: 40.0065901, Longitude: -105.26323889999999, Altitude: 1644.593
Latitude: 40.006590599999996, Longitude: -105.26323839999999, Altitude: 1644.536
Latitude: 40.0065915, Longitude: -105.26323649999999, Altitude: 1644.378
Latitude: 40.0065909, Longitude: -105.26323749999999, Altitude: 1644.512
Latitude: 40.006591199999995, Longitude: -105.26323699999999, Altitude: 1644.359
Latitude: 40.0065917, Longitude: -105.2632366, Altitude: 1644.414
Latitude: 40.0065913, Longitude: -105.2632376, Altitude: 1644.671
Latitude: 40.006591199999995, Longitude: -105.2632379, Altitude: 1644.692
Latitude: 40.006591199999995, Longitude: -105.2632374, Altitude: 1644.8120000000001
Latitude: 40.0065911, Longitude: -105.2632368, Altitude: 1644.881
Latitude: 40.006591199999995, Longitude: -105.26323649999999, Altitude: 1644.936
Latitude: 40.0065915, Longitude: -105.2632366, Altitude: 1645.162
Latitude: 40.0065911, Longitude: -105.26323629999999, Altitude: 1645.4460000000001
Latitude: 40.0065904, Longitude: -105.26323769999999, Altitude: 1645.547
Latitude: 40.0065897, Longitude: -105.2632398, Altitude: 1645.3600000000001
Latitude: 40.006589, Longitude: -105.2632399, Altitude: 1645.075
Latitude: 40.0065896, Longitude: -105.2632379, Altitude: 1645.1490000000001
Latitude: 40.0065903, Longitude: -105.26323579999999, Altitude: 1644.928
Latitude: 40.0065895, Longitude: -105.26323579999999, Altitude: 1644.7450000000001
Latitude: 40.006589, Longitude: -105.2632345, Altitude: 1644.6580000000001
Latitude: 40.006588799999996, Longitude: -105.26323239999999, Altitude: 1644.344
Latitude: 40.0065893, Longitude: -105.2632325, Altitude: 1644.137
Latitude: 40.0065914, Longitude: -105.2632335, Altitude: 1643.9460000000001
Latitude: 40.0065911, Longitude: -105.26323289999999, Altitude: 1644.019
Latitude: 40.006589999999996, Longitude: -105.26323029999999, Altitude: 1643.874
Latitude: 40.0065928, Longitude: -105.2632265, Altitude: 1643.027
Latitude: 40.006596699999996, Longitude: -105.2632244, Altitude: 1642.117
Latitude: 40.0065986, Longitude: -105.26322329999999, Altitude: 1641.94
Latitude: 40.0065995, Longitude: -105.26322259999999, Altitude: 1641.576
Latitude: 40.0066, Longitude: -105.2632208, Altitude: 1640.867
Latitude: 40.0065999, Longitude: -105.2632197, Altitude: 1640.488
Latitude: 40.0065992, Longitude: -105.2632162, Altitude: 1640.076
Latitude: 40.0065974, Longitude: -105.26321229999999, Altitude: 1640.038
Latitude: 40.0065976, Longitude: -105.2632094, Altitude: 1639.382
Latitude: 40.0065989, Longitude: -105.26320799999999, Altitude: 1638.52
Latitude: 40.006600999999996, Longitude: -105.2632074, Altitude: 1637.403
Latitude: 40.0066026, Longitude: -105.2632055, Altitude: 1636.925
Latitude: 40.006604599999996, Longitude: -105.2632029, Altitude: 1636.111
Latitude: 40.006606999999995, Longitude: -105.2632017, Altitude: 1635.491
Latitude: 40.006608899999996, Longitude: -105.2632004, Altitude: 1634.923
Latitude: 40.006610599999995, Longitude: -105.26319889999999, Altitude: 1633.8690000000001
Latitude: 40.0066116, Longitude: -105.2631964, Altitude: 1633.335
Latitude: 40.006612499999996, Longitude: -105.2631945, Altitude: 1633.175
Latitude: 40.0066118, Longitude: -105.26319409999999, Altitude: 1632.909
Latitude: 40.0066117, Longitude: -105.2631914, Altitude: 1632.089
Latitude: 40.006611899999996, Longitude: -105.2631883, Altitude: 1632.15
Latitude: 40.0066132, Longitude: -105.2631851, Altitude: 1631.6680000000001
Latitude: 40.0066151, Longitude: -105.26318429999999, Altitude: 1631.6380000000001
Latitude: 40.0066172, Longitude: -105.2631839, Altitude: 1631.4080000000001
Latitude: 40.0066175, Longitude: -105.26318239999999, Altitude: 1631.595
Latitude: 40.006616799999996, Longitude: -105.26318189999999, Altitude: 1631.404
Latitude: 40.0066166, Longitude: -105.26318239999999, Altitude: 1631.277
Latitude: 40.006617299999995, Longitude: -105.2631839, Altitude: 1630.939
Latitude: 40.006617299999995, Longitude: -105.26318479999999, Altitude: 1631.314
Latitude: 40.0066169, Longitude: -105.263185, Altitude: 1631.587
Latitude: 40.0066158, Longitude: -105.2631857, Altitude: 1631.671
Latitude: 40.006615499999995, Longitude: -105.26318739999999, Altitude: 1630.952
Latitude: 40.0066163, Longitude: -105.263188, Altitude: 1631.162
Latitude: 40.006618599999996, Longitude: -105.26319029999999, Altitude: 1630.976
Latitude: 40.0066205, Longitude: -105.26319009999999, Altitude: 1630.7540000000001
Latitude: 40.0066221, Longitude: -105.2631878, Altitude: 1630.642
Latitude: 40.0066243, Longitude: -105.26318619999999, Altitude: 1630.26
Latitude: 40.0066263, Longitude: -105.26318529999999, Altitude: 1629.711
Latitude: 40.0066278, Longitude: -105.26318599999999, Altitude: 1629.107
Latitude: 40.0066297, Longitude: -105.2631869, Altitude: 1628.752
Latitude: 40.0066321, Longitude: -105.2631873, Altitude: 1628.096
Latitude: 40.0066323, Longitude: -105.2631866, Altitude: 1627.621
Latitude: 40.006632499999995, Longitude: -105.2631852, Altitude: 1627.2440000000001
Latitude: 40.006633099999995, Longitude: -105.2631833, Altitude: 1627.064
Latitude: 40.0066333, Longitude: -105.26318239999999, Altitude: 1626.833
Latitude: 40.006633799999996, Longitude: -105.2631808, Altitude: 1626.518
Latitude: 40.0066354, Longitude: -105.2631804, Altitude: 1626.188
Latitude: 40.006636199999996, Longitude: -105.2631803, Altitude: 1626.442
Latitude: 40.006636, Longitude: -105.2631814, Altitude: 1625.91
Latitude: 40.0066364, Longitude: -105.2631815, Altitude: 1625.903
Latitude: 40.006637399999995, Longitude: -105.2631809, Altitude: 1625.647
Latitude: 40.0066384, Longitude: -105.2631801, Altitude: 1625.162
Latitude: 40.006639799999995, Longitude: -105.2631794, Altitude: 1624.7630000000001
Latitude: 40.0066414, Longitude: -105.26317879999999, Altitude: 1624.096
Latitude: 40.006642299999996, Longitude: -105.263179, Altitude: 1623.611
Latitude: 40.0066413, Longitude: -105.26317979999999, Altitude: 1622.692
Latitude: 40.0066397, Longitude: -105.26317929999999, Altitude: 1622.261
Latitude: 40.006639, Longitude: -105.26317829999999, Altitude: 1622.351
Latitude: 40.0066389, Longitude: -105.2631768, Altitude: 1622.315
Latitude: 40.0066397, Longitude: -105.2631763, Altitude: 1622.377
Latitude: 40.0066389, Longitude: -105.263176, Altitude: 1622.223
Latitude: 40.0066401, Longitude: -105.26317809999999, Altitude: 1622.116
Latitude: 40.006641699999996, Longitude: -105.2631796, Altitude: 1621.905
Latitude: 40.0066409, Longitude: -105.263179, Altitude: 1622.034
Latitude: 40.0066407, Longitude: -105.2631754, Altitude: 1622.152
Latitude: 40.0066406, Longitude: -105.26317189999999, Altitude: 1622.049
Latitude: 40.006640399999995, Longitude: -105.263173, Altitude: 1621.65
Latitude: 40.006642, Longitude: -105.2631749, Altitude: 1621.762
Latitude: 40.006643499999996, Longitude: -105.2631749, Altitude: 1622.1390000000001
Latitude: 40.006645999999996, Longitude: -105.2631747, Altitude: 1622.5
Latitude: 40.006648999999996, Longitude: -105.263176, Altitude: 1622.926
Latitude: 40.0066509, Longitude: -105.2631753, Altitude: 1623.652
Latitude: 40.006653, Longitude: -105.2631748, Altitude: 1623.557
Latitude: 40.0066559, Longitude: -105.2631749, Altitude: 1624.066
Latitude: 40.006658699999996, Longitude: -105.2631729, Altitude: 1624.08
Latitude: 40.0066608, Longitude: -105.2631722, Altitude: 1623.586
Latitude: 40.0066622, Longitude: -105.263173, Altitude: 1623.346
Latitude: 40.0066631, Longitude: -105.2631735, Altitude: 1623.4170000000001
Latitude: 40.0066638, Longitude: -105.2631744, Altitude: 1623.057
Latitude: 40.0066644, Longitude: -105.2631734, Altitude: 1622.659
Latitude: 40.006664199999996, Longitude: -105.26317209999999, Altitude: 1622.659
Latitude: 40.0066649, Longitude: -105.26317209999999, Altitude: 1622.294
Latitude: 40.006666599999996, Longitude: -105.26317159999999, Altitude: 1622.622
Latitude: 40.006668499999996, Longitude: -105.2631717, Altitude: 1622.348
Latitude: 40.0066676, Longitude: -105.2631718, Altitude: 1622.401
Latitude: 40.0066665, Longitude: -105.2631725, Altitude: 1623.031
Latitude: 40.0066662, Longitude: -105.2631758, Altitude: 1623.41
Latitude: 40.0066653, Longitude: -105.2631782, Altitude: 1623.589
Latitude: 40.006663599999996, Longitude: -105.26317949999999, Altitude: 1624.0520000000001
Latitude: 40.0066614, Longitude: -105.2631804, Altitude: 1625.171
Latitude: 40.006659899999995, Longitude: -105.2631815, Altitude: 1625.536
Latitude: 40.0066621, Longitude: -105.2631811, Altitude: 1626.027
Latitude: 40.0066643, Longitude: -105.263184, Altitude: 1626.579
Latitude: 40.0066656, Longitude: -105.26318789999999, Altitude: 1626.6380000000001
Latitude: 40.0066664, Longitude: -105.2631885, Altitude: 1627.207
Latitude: 40.0066664, Longitude: -105.2631885, Altitude: 1627.717
Latitude: 40.0066645, Longitude: -105.26319, Altitude: 1628.176
Latitude: 40.0066633, Longitude: -105.2631895, Altitude: 1628.564
